Publication_year,Research_group_UPC,ID_article
"(2009, 2012]",RMEE - Grup  de Resistencia de Materials i Estructures en l'Enginyeria,60
"(2012, 2015]",CITCEA - Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments,60
"(2009, 2012]",LIM/UPC - Laboratori d'Enginyeria Maritima,60
"(2018, 2021]",POLQUITEX - Materials Polimerics i Quimica Textil,60
"(2015, 2018]",GEOMVAP - Geometria de Varietats i Aplicacions,60
"(2009, 2012]",CITCEA - Centre d'Innovacio Tecnologica en Convertidors Estatics i Accionaments,59
"(2018, 2021]",MNT - Grup de Recerca en Micro i Nanotecnologies,59
"(2012, 2015]",GCO - Grup de Comunicacions Optiques,59
"(2012, 2015]","LARCA - Laboratori d'Algorismia Relacional, Complexitat i Aprenentatge",58
"(2009, 2012]",GEOMVAP - Geometria de Varietats i Aplicacions,58
"(2015, 2018]",GCO - Grup de Comunicacions Optiques,58
"(2018, 2021]",IMP - Information Modeling and Processing,58
"(2015, 2018]",BIOCOM-SC - Grup de Biologia Computacional i Sistemes Complexos,58
"(2009, 2012]",GOAPI - Grup d'Optica Aplicada i Processament d'Imatge,58
"(2009, 2012]",GMNE - Grup de Metodes Numerics en Enginyeria,58
"(2018, 2021]",BIOCOM-SC - Grup de Biologia Computacional i Sistemes Complexos,57
"(2009, 2012]",SCOM - Supply Chain and Operations Management,57
"(2009, 2012]","CoDAlab - Control, Modelitzacio, Identificacio i Aplicacions",57
"(2009, 2012]",NEMEN - Nanoenginyeria de materials aplicats a l'energia,57
"(2012, 2015]",DF - Dinamica de Fluids: formacio d'estructures i aplicacions geofisiques,57
"(2009, 2012]",SAC - Sistemes Avancats de Control,56
"(2012, 2015]","ALBCOM - Algorismia, Bioinformatica, Complexitat i Metodes Formals",55
"(2018, 2021]",GRAA - Grup de Recerca en Analisi Aplicada,55
"(2009, 2012]",ANT - Advanced Nuclear Technologies Research Group,55
"(2012, 2015]",GRBIO - Grup de Recerca en Bioestadistica i Bioinformatica,55
"(2015, 2018]",GREMS - Grup de Recerca en Mineria Sostenible,55
"(2018, 2021]",BIT - Barcelona Innovative Transportation,55
"(2018, 2021]","ALBCOM - Algorismia, Bioinformatica, Complexitat i Metodes Formals",54
"(2012, 2015]",CAP - Grup de Computacio d'Altes Prestacions,54
"(2009, 2012]",BIOCOM-SC - Grup de Biologia Computacional i Sistemes Complexos,54
"(2015, 2018]",GRIC - Grup de Recerca i Innovacio de la Construccio,53
"(2018, 2021]",GCO - Grup de Comunicacions Optiques,53
"(2015, 2018]",GICITED - Grup Interdiciplinari de Ciencia i Tecnologia en l'Edificacio,52
"(2009, 2012]",CBA - Sistemes de Comunicacions i Arquitectures de Banda Ampla,52
"(2009, 2012]",CELBIOTECH - Grup de Recerca: Enginyeria Paperera,52
"(2015, 2018]",GEMMA - Grup d'Enginyeria i Microbiologia del Medi Ambient,52
"(2012, 2015]",CTTC - Centre Tecnologic de la Transferencia de Calor,51
"(2015, 2018]","ALBCOM - Algorismia, Bioinformatica, Complexitat i Metodes Formals",51
"(2009, 2012]",GRBIO - Grup de Recerca en Bioestadistica i Bioinformatica,51
"(2012, 2015]",GEOMVAP - Geometria de Varietats i Aplicacions,50
"(2018, 2021]",GMNE - Grup de Metodes Numerics en Enginyeria,50
"(2012, 2015]",BCN SEER - Barcelona Science and Engineering Education Research Group,50
"(2012, 2015]",GBMI - Grup de Biotecnologia Molecular i Industrial,50
"(2009, 2012]",POLY2 - Polyfunctional polymeric materials,50
"(2009, 2012]",GCO - Grup de Comunicacions Optiques,50
"(2018, 2021]",POLY2 - Polyfunctional polymeric materials,49
"(2009, 2012]",ACES - Control Avancat de Sistemes d'Energia,49
"(2012, 2015]",LIM/UPC - Laboratori d'Enginyeria Maritima,49
"(2009, 2012]",SARTI-MAR - Sistemes d'Adquisicio Remota de dades i Tractament de la Informacio en el Medi Mari,49
"(2018, 2021]",ANT - Advanced Nuclear Technologies Research Group,49
"(2012, 2015]",GICITED - Grup Interdiciplinari de Ciencia i Tecnologia en l'Edificacio,49
"(2018, 2021]",GReCEF- Grup de Recerca en Ciencia i Enginyeria de Fluids,49
"(2015, 2018]",BCN SEER - Barcelona Science and Engineering Education Research Group,49
"(2018, 2021]",GICITED - Grup Interdiciplinari de Ciencia i Tecnologia en l'Edificacio,49
"(2018, 2021]",CREDA - Centre de Recerca en Economia i Desenvolupament Agroalimentari,48
"(2009, 2012]",GBMI - Grup de Biotecnologia Molecular i Industrial,48
"(2015, 2018]","LARCA - Laboratori d'Algorismia Relacional, Complexitat i Aprenentatge",48
"(2015, 2018]",EPIC - Energy Processing and Integrated Circuits,48
"(2015, 2018]",GBMI - Grup de Biotecnologia Molecular i Industrial,48
"(2009, 2012]",TN - Grup de Recerca en Teoria de Nombres,47
"(2012, 2015]",GAT - Grup d'Arquitectura i Tecnologia,47
"(2012, 2015]",GREMS - Grup de Recerca en Mineria Sostenible,47
"(2012, 2015]",IEB - Instrumentacio Electronica i Biomedica,46
"(2012, 2015]",SCOM - Supply Chain and Operations Management,46
"(2012, 2015]",TN - Grup de Recerca en Teoria de Nombres,46
"(2009, 2012]",TECTEX - Grup de Recerca en Tecnologia Textil,46
"(2018, 2021]",FLUMEN - Dinamica Fluvial i Enginyeria Hidrologica,46
"(2015, 2018]",POLTEPO - Polimers Termoestables Epoxidics,46
"(2015, 2018]",POLY2 - Polyfunctional polymeric materials,46
"(2015, 2018]",BIOART - BIOsignal Analysis for Rehabilitation and Therapy,46
"(2018, 2021]","inSSIDE - integrated Software, Service, Information and Data Engineering",46
"(2009, 2012]",GEMMA - Grup d'Enginyeria i Microbiologia del Medi Ambient,46
"(2009, 2012]",POLTEPO - Polimers Termoestables Epoxidics,46
"(2012, 2015]",MCIA - Motion Control and Industrial Applications Research Group,45
"(2015, 2018]",B2SLab - Bioinformatics and Biomedical Signals Laboratory,45
"(2009, 2012]",GICITED - Grup Interdiciplinari de Ciencia i Tecnologia en l'Edificacio,45
"(2012, 2015]",GRU - Grup de Recerca Urbanisme,45
"(2015, 2018]",EDP - Equacions en Derivades Parcials i Aplicacions,45
"(2015, 2018]","COMBGRAPH - Combinatoria, Teoria de Grafs i Aplicacions",45
"(2012, 2015]",FOTONICA - Grup de Recerca de Fotonica,45
"(2018, 2021]",WNG - Grup de xarxes sense fils,45
"(2015, 2018]",LAB - Laboratori d'Aplicacions Bioacustiques,45
"(2018, 2021]",EPIC - Energy Processing and Integrated Circuits,45
"(2015, 2018]",ROBiri - Grup de Robotica de l'IRI,44
"(2012, 2015]",CBA - Sistemes de Comunicacions i Arquitectures de Banda Ampla,44
"(2012, 2015]",B2SLab - Bioinformatics and Biomedical Signals Laboratory,44
"(2018, 2021]","GAPCOMB - Geometric, Algebraic and Probabilistic Combinatorics",44
"(2015, 2018]",TECNOFAB - Grup de Recerca en Tecnologies de Fabricacio,44
"(2018, 2021]",SCOM - Supply Chain and Operations Management,44
"(2012, 2015]",GEMMA - Grup d'Enginyeria i Microbiologia del Medi Ambient,44
"(2012, 2015]",EPIC - Energy Processing and Integrated Circuits,44
"(2018, 2021]",BCN SEER - Barcelona Science and Engineering Education Research Group,44
"(2012, 2015]",PROCOMAME - Processos de Conformacio de Materials Metal?lics,44
"(2012, 2015]",POLTEPO - Polimers Termoestables Epoxidics,44
"(2015, 2018]",GAT - Grup d'Arquitectura i Tecnologia,43
"(2015, 2018]",KEMLG - Grup d'Enginyeria del Coneixement i Aprenentatge Automatic,43
"(2015, 2018]",GREO - Grup de Recerca en Enginyeria Optica,42
"(2018, 2021]",CBA - Sistemes de Comunicacions i Arquitectures de Banda Ampla,42
"(2018, 2021]",GBMI - Grup de Biotecnologia Molecular i Industrial,42
"(2012, 2015]",CEPIMA - Center for Process and Environment Engineering,42
"(2018, 2021]",SIC - Sistemes Intel?ligents de Control,42
"(2015, 2018]",VIS - Visio Artificial i Sistemes Intel?ligents,42
"(2009, 2012]","AR.I.EN - Arquitectura, Industria i Enginyeria",42
"(2015, 2018]",ANT - Advanced Nuclear Technologies Research Group,42
"(2018, 2021]",ROBiri - Grup de Robotica de l'IRI,41
"(2015, 2018]",SCOM - Supply Chain and Operations Management,41
"(2018, 2021]",IEB - Instrumentacio Electronica i Biomedica,41
"(2009, 2012]",MNT - Grup de Recerca en Micro i Nanotecnologies,41
"(2009, 2012]",MAK - Matematica Aplicada a la Criptografia,41
"(2018, 2021]","LARCA - Laboratori d'Algorismia Relacional, Complexitat i Aprenentatge",41
"(2009, 2012]",CEPIMA - Center for Process and Environment Engineering,41
"(2012, 2015]",WiComTec - Grup de recerca en Tecnologies i Comunicacions Sense Fils,41
"(2012, 2015]",BIT - Barcelona Innovative Transportation,41
"(2018, 2021]",TECTEX - Grup de Recerca en Tecnologia Textil,40
